Date,Price,Vol.,Change %,SMA_30,EMA_30,month,quarter,day_of_week
2023-10-20,118.65,40.0,-0.0033,119.72133333333333,118.05871790289726,10,4,4
2023-10-23,118.45,40.0,-0.0017000000000000001,119.72866666666667,118.08396190916196,10,4,0
2023-10-24,118.19,40.0,-0.0022,119.65733333333334,118.09080307631281,10,4,1
2023-10-25,118.48,40.0,0.0025,119.589,118.11591255526038,10,4,2
2023-10-26,118.45,40.0,-0.0003,119.51866666666666,118.13746658395327,10,4,3
2023-10-27,118.55,40.0,0.0008,119.42733333333332,118.16408164305307,10,4,4
2023-10-30,118.7,40.0,0.0013,119.31066666666668,118.19865702092062,10,4,0
2023-10-31,118.91,40.0,0.0018,119.20233333333334,118.24455011634511,10,4,1
2023-11-01,122.33,40.0,0.0288,119.219,118.50812752819382,11,4,2
2023-11-02,125.57,40.0,0.0265,119.34833333333334,118.96373220379422,11,4,3
2023-11-03,126.15,40.0,0.0046,119.509,119.42736238419461,11,4,4
2023-11-06,126.63,40.0,0.0038,119.69066666666667,119.89204868198851,11,4,0
2023-11-07,125.95,40.0,-0.0054,119.858,120.28288425089248,11,4,1
2023-11-08,127.26,40.0,0.0104,120.07199999999999,120.7330207508349,11,4,2
2023-11-09,127.38,40.0,0.0009,120.28999999999999,121.16185812174878,11,4,3
2023-11-10,128.07,40.0,0.0054,120.53266666666667,121.60754469453919,11,4,4
2023-11-13,128.34,40.0,0.0021,120.80600000000001,122.04189664973022,11,4,0
2023-11-14,128.78,40.0,0.0034000000000000002,121.15066666666667,122.47661299490892,11,4,1
2023-11-15,129.25,40.0,0.0036,121.52466666666666,122.9136057049148,11,4,2
2023-11-16,129.42,40.0,0.0013,121.92466666666668,123.33337307879127,11,4,3
2023-11-17,128.95,40.0,-0.0036,122.29833333333333,123.69573610596602,11,4,4
2023-11-20,129.31,40.0,0.0028000000000000004,122.66933333333333,124.05794667977467,11,4,0
2023-11-21,129.55,40.0,0.0019,123.07433333333333,124.41227270043439,11,4,1
2023-11-22,129.84,40.0,0.0022,123.45866666666667,124.76244865524508,11,4,2
